timestamp,event,detail,confidence,match,reference_frame,turn,player_active,opponent_active,weather,terrain,trick_room,tailwind,screens,field_status,actor,pokemon,hp_percent,reference_frame_shows_subject,manual_correction,winner,source,player_team,opponent_team,player_brought,opponent_brought,player_lead,opponent_lead,illegal_species_detected,likely_missed_opponent_species,roster_conflict,roster_conflict_species,target,move,hp_current,hp_max,status
642,pokemon_fainted,Kingambit fainted,1.0,1,match_frames\match_1\ocr_00168.jpg,,,,,,,,,,opponent,Kingambit,0,True,"2026-07-08: same root cause as the 563s sent_out event - detail already read 'Kingambit' correctly, substituted to the wrong closest-known-roster match (Garchomp, a different real teammate) because Kingambit wasn't in the pre-battle roster snapshot. Corrected pokemon/detail/confidence, cleared roster_conflict.",,,,,,,,,,,,,,,,,
643.5,pokemon_fainted,Kingambit fainted,0.95,1,match_frames\match_1\ocr_00168.jpg,,,,,,,,,,opponent,Kingambit,0,True,,,ocr,,,,,,,,,,,,,,,
651.5,pokemon_sent_out,Garchomp sent out,0.95,1,match_frames\match_1\ocr_00184.jpg,,,,,,,,,,,Garchomp,,,,,ocr,,,,,,,,,,,,,,,
654,field_state,"Turn 4 field state with Rain, Garchomp sent out.",1.0,1,match_frames\match_1\ocr_00192.jpg,4,"Archaludon, Pelipper","Charizard, Garchomp",Rain,,False,,,[],,,,,,,,,,,,,,,,,,,,,,
660,field_state,Initial board state,1.0,1,match_frames\match_1\ocr_00202.jpg,4,"Archaludon, Pelipper","Charizard, Garchomp",Rain,,False,,,[],,,,,,,,,,,,,,,,,,,,,,
696,pokemon_sent_out,Basculegion sent out [reference-frame check: 'Basculegion' wasn't found readable anywhere in this photo - the camera may have been pointed elsewhere at this moment],0.5,1,match_frames\match_1\ocr_00270.jpg,,,,,,,,,,player,Basculegion,,False,,,,,,,,,,,,,,,,,,
696,field_state,Player switched Pelipper for Basculegion,1.0,1,match_frames\match_1\ocr_00270.jpg,,"Archaludon, Basculegion","Charizard, Garchomp",Rain,,False,,,[],,,,,,,,,,,,,,,,,,,,,,
699,item_or_ability_activated,Opponent's Charizard Mega Evolved into Mega Charizard Y,1.0,1,match_frames\match_1\ocr_00282.jpg,,,,,,,,,,opponent,Charizard,,True,,,,,,,,,,,,,,,,,,
699,field_state,Opponent's Charizard Mega Evolved,1.0,1,match_frames\match_1\ocr_00282.jpg,,"Archaludon, Basculegion","Charizard, Garchomp",Rain,,False,,,[],,,,,,,,,,,,,,,,,,,,,,
700.0,weather_or_terrain_set,The opposing Charizard s Charizardite Y is reacting to Trainer's Omni Ring!,0.95,1,match_frames\match_1\ocr_00281.jpg,,,,,,,,,,,,,,,,ocr,,,,,,,,,,,,,,,
701.5,weather_or_terrain_set,OE The opposing Charizard s Charizardite Y is reacting to Trainer's Omni Ring!,0.95,1,match_frames\match_1\ocr_00284.jpg,,,,,,,,,,,,,,,,ocr,,,,,,,,,,,,,,,
708,item_or_ability_activated,Mega Evolved into Mega Charizard,1.0,1,match_frames\match_1\ocr_00300.jpg,,,,,,,,,,opponent,Charizard,,True,,,,,,,,,,,,,,,,,,
708,turn_start,Assumed start of Turn 1,0.8,1,match_frames\match_1\ocr_00300.jpg,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,field_state,Charizard Mega Evolved,1.0,1,match_frames\match_1\ocr_00300.jpg,1,"{""pokemon"": ""Archaludon"", ""hp_percent"": 100}, {""pokemon"": ""Pelipper"", ""hp_percent"": 100}","{""pokemon"": ""Charizard"", ""hp_percent"": 100}, {""pokemon"": ""Garchomp"", ""hp_percent"": 100}",none,,False,,,,,,,,,,,,,,,,,,,,,,,,,
711.5,weather_or_terrain_set,The sunlight turned harsh!,0.95,1,match_frames\match_1\ocr_00304.jpg,,,,,,,,,,,,,,,,ocr,,,,,,,,,,,,,,,
712,item_or_ability_activated,Charizard's Drought activated [reference-frame check: 'Charizard' wasn't found readable anywhere in this photo - the camera may have been pointed elsewhere at this moment],0.5,1,match_frames\match_1\ocr_00308.jpg,,,,,,,,,,opponent,Charizard,,False,,,,,,,,,,,,,,,,,,
712,field_state,Weather changed to harsh sunlight,1.0,1,match_frames\match_1\ocr_00308.jpg,1,"{""pokemon"": ""Archaludon"", ""hp_percent"": 100}, {""pokemon"": ""Pelipper"", ""hp_percent"": 100}","{""pokemon"": ""Charizard"", ""hp_percent"": 100}, {""pokemon"": ""Garchomp"", ""hp_percent"": 100}",harsh sunlight,,False,,,,,,,,,,,,,,,,,,,,,,,,,
713.5,move_used,Protect,0.95,1,match_frames\match_1\ocr_00308.jpg,,,,,,,,,,,Archaludon,,,,,ocr,,,,,,,,,,,,,,,
719.0,move_used,Earthquake,0.95,1,match_frames\match_1\ocr_00319.jpg,,,,,,,,,,,Garchomp,,,,,ocr,,,,,,,,,,,,,,,
721,move_used,Archaludon protected itself [move-legality check: 'Archaludon protected itself' is not in Archaludon's known learnset - worth verifying against the source frame],0.3,1,match_frames\match_1\ocr_00325.jpg,,,,,,,,,,player,Archaludon,,True,,,,,,,,,,,,,,,,,,
721,field_state,Archaludon protected itself,1.0,1,match_frames\match_1\ocr_00325.jpg,1,"{""pokemon"": ""Archaludon"", ""hp_percent"": 100, ""field_status"": [""protected""]}, {""pokemon"": ""Pelipper"", ""hp_percent"": 100}","{""pokemon"": ""Charizard"", ""hp_percent"": 100}, {""pokemon"": ""Garchomp"", ""hp_percent"": 100}",harsh sunlight,,False,,,,,,,,,,,,,,,,,,,,,,,,,
724,not_very_effective_hit,Earthquake didn't affect Charizard (immune) [reference-frame check: 'Charizard' wasn't found readable anywhere in this photo - the camera may have been pointed elsewhere at this moment],0.5,1,match_frames\match_1\ocr_00326.jpg,,,,,,,,,,opponent,Charizard,,False,,,,,,,,,,,,,,,,,,
727,turn_start,Assumed start of Turn 2,0.8,1,match_frames\match_1\ocr_00332.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,pokemon_switch_out,Archaludon switched out [reference-frame check: 'Archaludon' wasn't found readable anywhere in this photo - the camera may have been pointed elsewhere at this moment],0.5,1,match_frames\match_1\ocr_00332.jpg,,,,,,,,,,player,Archaludon,,False,,,,,,,,,,,,,,,,,,
727,pokemon_sent_out,"Basculegion sent out, HP 140/199 [reference-frame check: 'Basculegion' wasn't found readable anywhere in this photo - the camera may have been pointed elsewhere at this moment]",0.5,1,match_frames\match_1\ocr_00332.jpg,,,,,,,,,,player,Basculegion,70,False,,,,,,,,,,,,,,,,,,
727,hp_change,"Basculegion HP 140/199 [HP pixel-check: bar fill reads ~0%, disagrees with the 70% recorded here - worth verifying against the reference frame] [reference-frame check: 'Basculegion' wasn't found readable anywhere in this photo - the camera may have been pointed elsewhere at this moment]",0.5,1,match_frames\match_1\ocr_00332.jpg,,,,,,,,,,player,Basculegion,70,False,,,,,,,,,,,,,,,,,,
727,field_state,"Archaludon switched out for Basculegion, Basculegion took damage",0.9,1,match_frames\match_1\ocr_00332.jpg,2,"{""pokemon"": ""Basculegion"", ""hp_percent"": 70}, {""pokemon"": ""Pelipper"", ""hp_percent"": 100}","{""pokemon"": ""Charizard"", ""hp_percent"": 100}, {""pokemon"": ""Garchomp"", ""hp_percent"": 100}",harsh sunlight,,False,,,,,,,,,,,,,,,,,,,,,,,,,
730,item_or_ability_activated,Garchomp's Life Orb activated,1.0,1,match_frames\match_1\ocr_00344.jpg,,,,,,,,,,opponent,Garchomp,,True,,,,,,,,,,,,,,,,,,
730,hp_change,"Garchomp HP 90% due to Life Orb recoil [HP pixel-check: bar fill reads ~0%, disagrees with the 90% recorded here - worth verifying against the reference frame]",0.5,1,match_frames\match_1\ocr_00344.jpg,,,,,,,,,,opponent,Garchomp,90,True,,,,,,,,,,,,,,,,,,
730,hp_change,"Basculegion HP 85/199 [HP pixel-check: bar fill reads ~11%, disagrees with the 43% recorded here - worth verifying against the reference frame]",0.5,1,match_frames\match_1\ocr_00344.jpg,,,,,,,,,,player,Basculegion,43,True,,,,,,,,,,,,,,,,,,
730,field_state,"Garchomp took Life Orb recoil, Basculegion took more damage",1.0,1,match_frames\match_1\ocr_00344.jpg,2,"{""pokemon"": ""Basculegion"", ""hp_percent"": 43}, {""pokemon"": ""Pelipper"", ""hp_percent"": 100}","{""pokemon"": ""Charizard"", ""hp_percent"": 100}, {""pokemon"": ""Garchomp"", ""hp_percent"": 90}",harsh sunlight,,False,,,,,,,,,,,,,,,,,,,,,,,,,
733,field_state,Initial field state for this sequence.,1.0,1,match_frames\match_1\ocr_00345.jpg,1,"Archaludon, Basculegion","Charizard, Garchomp",,,False,,,[],,,,,,,,,,,,,,,,,,,,,,
734.0,move_used,Heat Wave,0.95,1,match_frames\match_1\ocr_00349.jpg,,,,,,,,,,,Charizard,,,,,ocr,,,,,,,,,,,,,,,
736,move_used,Archaludon protected itself! (used Protect) [move-legality check: 'Archaludon protected itself! (used Protect)' is not in Archaludon's known learnset - worth verifying against the source frame],0.3,1,match_frames\match_1\ocr_00354.jpg,,,,,,,,,,player,Archaludon,,True,,,,,,,,,,,,,,,,,,
769,field_state,Initial field state,1.0,1,match_frames\match_1\ocr_00416.jpg,1,"Archaludon, Basculegion","Charizard, Garchomp",,,False,,,{},,,,,,,,,,,,,,,,,,,,,,
774.0,weather_or_terrain_set,The Trainer withdrew Garchomp!,0.95,1,match_frames\match_1\ocr_00429.jpg,,,,,,,,,,,,,,,,ocr,,,,,,,,,,,,,,,
777.5,pokemon_sent_out,Sylveon sent out,0.95,1,match_frames\match_1\ocr_00436.jpg,,,,,,,,,,,Sylveon,,,,,ocr,,,,,,,,,,,,,,,
781,field_state,Opponent switched Garchomp for Sylveon; Charizard used Protect,1.0,1,match_frames\match_1\ocr_00445.jpg,1,"Archaludon, Basculegion","Charizard, Sylveon",,,False,,,{'opponent': {'Charizard': ['Protected']}},,,,,,,,,,,,,,,,,,,,,,
782.5,move_used,Protect,0.95,1,match_frames\match_1\ocr_00446.jpg,,,,,,,,,,,Charizard,,,,,ocr,,,,,,,,,,,,,,,
786.5,move_used,Flip Turn,0.95,1,match_frames\match_1\ocr_00454.jpg,,,,,,,,,,,Basculegion,,,,,ocr,,,,,,,,,,,,,,,
787,hp_change,"Archaludon took damage [HP pixel-check: bar fill reads ~13%, disagrees with the 93% recorded here - worth verifying against the reference frame]",0.5,1,match_frames\match_1\ocr_00456.jpg,,,,,,,,,,player,Archaludon,93.4,True,,,,,,,,,,,,,,,,,,
787,not_very_effective_hit,It's not very effective on Archaludon.,1.0,1,match_frames\match_1\ocr_00456.jpg,,,,,,,,,,player,Archaludon,,True,,,,,,,,,,,,,,,,,,
787,field_state,Archaludon took damage,1.0,1,match_frames\match_1\ocr_00456.jpg,1,"Archaludon, Basculegion","Charizard, Sylveon",,,False,,,{'opponent': {'Charizard': ['Protected']}},,,,,,,,,,,,,,,,,,,,,,
790,item_or_ability_activated,Archaludon's Stamina activated,1.0,1,match_frames\match_1\ocr_00464.jpg,,,,,,,,,,player,Archaludon,,True,,,,,,,,,,,,,,,,,,
790,stat_change,Archaludon's Defense rose!,1.0,1,match_frames\match_1\ocr_00464.jpg,,,,,,,,,,player,Archaludon,,True,,,,,,,,,,,,,,,,,,
815,pokemon_sent_out,Pelipper sent out [reference-frame check: 'Pelipper' wasn't found readable anywhere in this photo - the camera may have been pointed elsewhere at this moment],0.5,1,match_frames\match_1\ocr_00508.jpg,,,,,,,,,,player,Pelipper,,False,,,,,,,,,,,,,,,,,,
818,item_or_ability_activated,Pelipper's Drizzle activated [reference-frame check: 'Pelipper' wasn't found readable anywhere in this photo - the camera may have been pointed elsewhere at this moment],0.5,1,match_frames\match_1\ocr_00517.jpg,,,,,,,,,,player,Pelipper,,False,,,,,,,,,,,,,,,,,,
818,field_state,"Turn 1 start, Rain activated",1.0,1,match_frames\match_1\ocr_00517.jpg,1,"Archaludon, Pelipper","Charizard, Sylveon",Rain,,False,,,[],,,,,,,,,,,,,,,,,,,,,,
819.5,weather_or_terrain_set,It started to rain!,0.95,1,match_frames\match_1\ocr_00520.jpg,,,,,,,,,,,,,,,,ocr,,,,,,,,,,,,,,,
821.0,move_used,Dragon Pulse,0.95,1,match_frames\match_1\ocr_00523.jpg,,,,,,,,,,,Archaludon,,,,,ocr,,,,,,,,,,,,,,,
823.0,not_very_effective_hit,No effect on the opposing Sylveon,0.95,1,match_frames\match_1\ocr_00527.jpg,,,,,,,,,,,Sylveon,,,,,ocr,,,,,,,,,,,,,,,
824,item_or_ability_activated,Archaludon's Leftovers activated [reference-frame check: 'Archaludon' wasn't found readable anywhere in this photo - the camera may have been pointed elsewhere at this moment],0.5,1,match_frames\match_1\ocr_00529.jpg,,,,,,,,,,player,Archaludon,,False,,,,,,,,,,,,,,,,,,
827,hp_change,"Archaludon HP changed to 193/197 [HP pixel-check: bar fill reads ~0%, disagrees with the 98% recorded here - worth verifying against the reference frame]",0.5,1,match_frames\match_1\ocr_00538.jpg,,,,,,,,,,player,Archaludon,97.9,True,,,,,,,,,,,,,,,,,,
827,field_state,End of Turn 1 field state,1.0,1,match_frames\match_1\ocr_00538.jpg,1,"Archaludon, Pelipper","Charizard, Sylveon",Rain,,False,,,[],,,,,,,,,,,,,,,,,,,,,,
845,field_state,Initial field state for turn 1,1.0,1,match_frames\match_1\ocr_00568.jpg,1,"Archaludon, Pelipper","Charizard, Sylveon",Rain,,False,,,[],,,,,,,,,,,,,,,,,,,,,,
855.0,move_used,Weather Ball,0.95,1,match_frames\match_1\ocr_00591.jpg,,,,,,,,,,,Charizard,,,,,ocr,,,,,,,,,,,,,,,
860,not_very_effective_hit,It's not very effective on Pelipper.,1.0,1,match_frames\match_1\ocr_00603.jpg,,,,,,,,,,player,Pelipper,,True,,,,,,,,,,,,,,,,,,
860,hp_change,"Pelipper's HP changed to 111/166 [HP pixel-check: bar fill reads ~0%, disagrees with the 67% recorded here - worth verifying against the reference frame]",0.5,1,match_frames\match_1\ocr_00603.jpg,,,,,,,,,,player,Pelipper,67,True,,,,,,,,,,,,,,,,,,
860,field_state,Pelipper took damage from Weather Ball,1.0,1,match_frames\match_1\ocr_00603.jpg,1,"Archaludon, Pelipper","Charizard, Sylveon",Rain,,False,,,[],,,,,,,,,,,,,,,,,,,,,,
864.5,move_used,Flash Cannon,0.95,1,match_frames\match_1\ocr_00610.jpg,,,,,,,,,,,Archaludon,,,,,ocr,,,,,,,,,,,,,,,
868.5,item_or_ability_activated,super effective on the opposing Sylveon,0.75,1,match_frames\match_1\ocr_00618.jpg,,,,,,,,,,,Porygon-Z,,,,,ocr,,,,,,,,,,,,,,,
869,hp_change,"Sylveon's HP changed to 18% [HP pixel-check: bar fill reads ~0%, disagrees with the 18% recorded here - worth verifying against the reference frame]",0.5,1,match_frames\match_1\ocr_00619.jpg,,,,,,,,,,opponent,Sylveon,18,True,,,,,,,,,,,,,,,,,,
869,field_state,Sylveon took damage from Flash Cannon,1.0,1,match_frames\match_1\ocr_00619.jpg,1,"Archaludon, Pelipper","Charizard, Sylveon",Rain,,False,,,[],,,,,,,,,,,,,,,,,,,,,,
871.5,move_used,Tailwind,0.95,1,match_frames\match_1\ocr_00624.jpg,,,,,,,,,,,Pelipper,,,,,ocr,,,,,,,,,,,,,,,
872.5,move_used,Tailwind,0.95,1,match_frames\match_1\ocr_00626.jpg,,,,,,,,,,,Pelipper,,,,,ocr,,,,,,,,,,,,,,,
875,tailwind,A Tailwind started blowing on your side!,1.0,1,match_frames\match_1\ocr_00634.jpg,,,,,,,player,,,player,,,,,,,,,,,,,,,,,,,,,
877.5,move_used,Hyper Voice,0.95,1,match_frames\match_1\ocr_00636.jpg,,,,,,,,,,,Sylveon,,,,,ocr,,,,,,,,,,,,,,,
878,field_state,"Initial field state for turn 3 with visible HP and Tailwind active for player, Rain due to Pelipper's Drizzle.",1.0,1,match_frames\match_1\ocr_00639.jpg,3,"Archaludon, Pelipper","Charizard, Sylveon",Rain,,False,player,,"{'Archaludon': None, 'Pelipper': None, 'Charizard': None, 'Sylveon': None}",,,,,,,,,,,,,,,,,,,,,,
881,item_or_ability_activated,Archaludon's Stamina activated,1.0,1,match_frames\match_1\ocr_00644.jpg,,,,,,,,,,player,Archaludon,,True,,,,,,,,,,,,,,,,,,
881,stat_change,Archaludon's Defense rose,1.0,1,match_frames\match_1\ocr_00644.jpg,,,,,,,,,,player,Archaludon,,True,,,,,,,,,,,,,,,,,,
881,hp_change,"Archaludon took damage [HP pixel-check: bar fill reads ~0%, disagrees with the 53% recorded here - worth verifying against the reference frame]",0.5,1,match_frames\match_1\ocr_00644.jpg,,,,,,,,,,player,Archaludon,53.3,True,,,,,,,,,,,,,,,,,,
881,hp_change,"Pelipper took damage [HP pixel-check: bar fill reads ~0%, disagrees with the 10% recorded here - worth verifying against the reference frame]",0.5,1,match_frames\match_1\ocr_00644.jpg,,,,,,,,,,player,Pelipper,10.2,True,,,,,,,,,,,,,,,,,,
881,field_state,"Archaludon's HP and Defense changed, Pelipper's HP changed.",1.0,1,match_frames\match_1\ocr_00644.jpg,3,"Archaludon, Pelipper","Charizard, Sylveon",Rain,,False,player,,"{'Archaludon': {'stat_stages': {'def': 1}}, 'Pelipper': None, 'Charizard': None, 'Sylveon': None}",,,,,,,,,,,,,,,,,,,,,,
884,hp_change,"Pelipper healed [HP pixel-check: bar fill reads ~0%, disagrees with the 19% recorded here - worth verifying against the reference frame]",0.5,1,match_frames\match_1\ocr_00651.jpg,,,,,,,,,,player,Pelipper,18.7,True,,,,,,,,,,,,,,,,,,
884,field_state,Pelipper's HP changed.,1.0,1,match_frames\match_1\ocr_00651.jpg,3,"Archaludon, Pelipper","Charizard, Sylveon",Rain,,False,player,,"{'Archaludon': {'stat_stages': {'def': 1}}, 'Pelipper': None, 'Charizard': None, 'Sylveon': None}",,,,,,,,,,,,,,,,,,,,,,
887,item_or_ability_activated,Archaludon's Leftovers activated,1.0,1,match_frames\match_1\ocr_00652.jpg,,,,,,,,,,player,Archaludon,,True,,,,,,,,,,,,,,,,,,
893,battle_end,The battle has ended due to a forfeit.,1.0,1,match_frames\match_1\ocr_00668.jpg,,,,,,,,,,,,,,,player,,,,,,,,,,,,,,,,
895.0,weather_or_terrain_set,You defeated the Trainer!,0.95,1,match_frames\match_1\ocr_00671.jpg,,,,,,,,,,,,,,,,ocr,,,,,,,,,,,,,,,
530.0,team_preview,"P1 team: Venusaur, Grimmsnarl, Pelipper, Archaludon, Charizard, Basculegion | P2 team: Sylveon, Garchomp, Aerodactyl, Kingambit, Girafarig, Charizard  ||  P1 brought: Archaludon, Basculegion, Pelipper | P2 brought: Charizard, Kingambit, Garchomp",0.8,1,,,,,,,,,,,both,,,,"2026-07-08: row 4 of the opponent's team-preview roster was misread as 'Heracross' (icon-vision guess), while this match's own battle events independently and correctly read 'Kingambit' off-screen text twice (563s sent_out, 642s fainted) - both got substituted to wrong closest-roster-match names (Heracross, then Garchomp) since Kingambit wasn't in the pre-battle roster snapshot. Previously this got patched by appending Kingambit as a 7th team member without removing the wrong Heracross entry (Species Clause allows only 6) - corrected properly here: Heracross replaced by Kingambit in opponent_team/opponent_brought/opponent_lead/detail, no duplicate/7th slot. See the 563s/642s events' own manual_correction notes for the matching battle-event fixes.",,,"Venusaur, Grimmsnarl, Pelipper, Archaludon, Charizard, Basculegion","Sylveon, Garchomp, Aerodactyl, Kingambit, Girafarig, Charizard","Archaludon, Basculegion, Pelipper","Charizard, Kingambit, Garchomp","Archaludon, Basculegion","Charizard, Kingambit",[],,,,,,,,
900.0,battle_end,You defeated the Trainer!,0.85,1,,,,,,,,,,,player,,,,,player,,,,,,,,,,,,,,,,
1050,field_state,,0.9,2,match_frames\match_2\ocr_00003.jpg,1,"Grimmsnarl, Charizard","Whimsicott, Whimsicott",,,False,,,[],,,,,,,,,,,,,,,,,,,,,,
1086,move_used,Generic move animation visible.,0.3,2,match_frames\match_2\ocr_00071.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,item_or_ability_activated,Player's Charizard Mega Evolved [reference-frame check: 'Charizard' wasn't found readable anywhere in this photo - the camera may have been pointed elsewhere at this moment],0.5,2,match_frames\match_2\ocr_00081.jpg,,,,,,,,,,player,Charizard,,False,,,,,,,,,,,,,,,,,,
1092,turn_start,Turn 1 begins,1.0,2,match_frames\match_2\ocr_00087.jpg,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,field_state,Turn 1 initial field state,1.0,2,match_frames\match_2\ocr_00087.jpg,1,"Charizard, Grimmsnarl","Whimsicott, Maushold",None,None,False,None,None,[],,,,,,,,,,,,,,,,,,,,,,
1095,item_or_ability_activated,Charizard's Drought activated,1.0,2,match_frames\match_2\ocr_00092.jpg,,,,,,,,,,player,Charizard,,True,,,,,,,,,,,,,,,,,,
1095,field_state,Weather changed to Sun,1.0,2,match_frames\match_2\ocr_00092.jpg,1,"Charizard, Grimmsnarl","Whimsicott, Maushold",Sun,None,False,None,None,[],,,,,,,,,,,,,,,,,,,,,,
1097.0,weather_or_terrain_set,The sunlight turned harsh!,0.95,2,match_frames\match_2\ocr_00095.jpg,,,,,,,,,,,,,,,,ocr,,,,,,,,,,,,,,,
1099.0,move_used,Protect,0.95,2,match_frames\match_2\ocr_00099.jpg,,,,,,,,,,,Whimsicott,,,,,ocr,,,,,,,,,,,,,,,
1105.0,move_used,Reflect,0.95,2,match_frames\match_2\ocr_00111.jpg,,,,,,,,,,,Grimmsnarl,,,,,ocr,,,,,,,,,,,,,,,
1105.5,move_used,Reflect,0.95,2,match_frames\match_2\ocr_00112.jpg,,,,,,,,,,,Grimmsnarl,,,,,ocr,,,,,,,,,,,,,,,
1108,screens,Reflect set on player's side,1.0,2,match_frames\match_2\ocr_00120.jpg,,,,,,,,Reflect,,,,,,,,,,,,,,,,,,,,,,,
1108,field_state,Reflect set on player's side,1.0,2,match_frames\match_2\ocr_00120.jpg,1,"Charizard, Grimmsnarl","Whimsicott, Maushold",Sun,None,False,None,Reflect,[],,,,,,,,,,,,,,,,,,,,,,
1111,move_used,Maushold used Population Bomb.,1.0,2,match_frames\match_2\ocr_00124.jpg,,,,,,,,,,opponent,Maushold,,True,"2026-07-08: detail already read 'Maushold' correctly off-screen but got substituted to the wrong closest-known-roster match (Galarian Weezing) since Maushold wasn't in the pre-battle roster snapshot (same root cause as the Kingambit fix in match 1). Corrected pokemon/detail/confidence, cleared roster_conflict.",,,,,,,,,,,,,,,,,
1111.5,move_used,Population Bomb,0.95,2,match_frames\match_2\ocr_00124.jpg,,,,,,,,,,,Maushold,,,,,ocr,,,,,,,,,,,,,,,
1114,hp_change,"Charizard HP changed to 160/183 [HP pixel-check: bar fill reads ~0%, disagrees with the 87% recorded here - worth verifying against the reference frame]",0.5,2,match_frames\match_2\ocr_00130.jpg,,,,,,,,,,player,Charizard,87.43,True,,,,,,,,,,,,,,,,,,
1114,field_state,Charizard HP updated,1.0,2,match_frames\match_2\ocr_00130.jpg,1,"Charizard, Grimmsnarl","Whimsicott, Maushold",Sun,None,False,None,Reflect,[],,,,,,,,,,,,,,,,,,,,,,
1117,hp_change,"Charizard HP changed to 123/183 [HP pixel-check: bar fill reads ~0%, disagrees with the 67% recorded here - worth verifying against the reference frame]",0.5,2,match_frames\match_2\ocr_00138.jpg,,,,,,,,,,player,Charizard,67.21,True,,,,,,,,,,,,,,,,,,
1117,field_state,Charizard HP updated,1.0,2,match_frames\match_2\ocr_00138.jpg,1,"Charizard, Grimmsnarl","Whimsicott, Maushold",Sun,None,False,None,Reflect,[],,,,,,,,,,,,,,,,,,,,,,
